routing,office_code,fbr,record_type,change_date,new_routing,name,address,city,state,zip,zip_ext,area_code,prefix,suffix,status_code,master_state
323075136,O,121000374,1,060314,000000000,CONSOLIDATED FEDERAL CREDIT UNION,2021 NE SANDY BLVD,PORTLAND,OR,97232,0000,503,872,9432,1,
323075181,O,121000374,1,080316,000000000,ADVANTIS CREDIT UNION,SUITE 300,CLACKAMAS,OR,97015,0000,503,785,2469,1,
323075194,O,121000374,1,070307,000000000,IBEW & UNITED WORKERS FCU,9955 SOUTHEAST WASHINGTON,PORTLAND,OR,97216,0535,503,253,8193,1,
323075220,O,121000374,1,071012,000000000,SUNSET SCIENCE PARK FCU,SUITE 200,PORTLAND,OR,97229,5419,503,643,1335,1,
323075259,O,121000374,1,110314,000000000,NORTHWEST COMMUNITY CREDIT UNION,PO BOX 10607,EUGENE,OR,97440,0000,800,452,9515,1,
323075275,O,121000374,1,093010,000000000,LEGACY FEDERAL CREDIT UNION,2148 NW OVERTON STREET,PORTLAND,OR,97210,0000,503,413,7474,1,
323075327,O,121000374,1,112211,000000000,PACIFIC NW IRONWORKERS FCU,11620 NORTEAST AINSWORTH CIR  # 400,PORTLAND,OR,97220,0000,503,774,3848,1,
323075356,O,121000374,1,052704,000000000,KAI PERM NW FEDERAL CREDIT UNION,500 NE MULTNOMAH ST STE 320,PORTLAND,OR,97232,2033,503,813,3242,1,
323075372,O,121000374,1,050916,000000000,NORTHWEST ADVENTIST FCU,10333 SE MAIN ST.,PORTLAND,OR,97216,0000,503,256,3712,1,
323075408,O,121000374,1,060313,000000000,MACHINISTS-BOILERMAKER FCU,25 CORNELL AVENUE,GLADSTONE,OR,97027,0000,503,210,2477,1,
323075437,O,121000374,1,091712,000000000,NORTHWEST COMMUNITY CREDIT UNION,PO BOX 70225,SPRINGFIELD,OR,97475,0000,800,452,9515,1,
323075495,O,121000374,1,060204,000000000,POINT WEST CREDIT UNION,718 NE 12TH AVENUE,PORTLAND,OR,97232,2274,503,546,5000,1,
323075547,O,121000374,1,060214,000000000,OREGON PIONEER FCU,17884 SE MCLOUGHLIN BLVD,MILWAUKIE,OR,97267,0000,503,833,1540,1,
323075563,O,121000374,1,093013,000000000,TRAILHEAD CREDIT UNION,221 NW SECOND AVE,PORTLAND,OR,97209,0000,503,220,2592,1,
323075686,O,121000374,1,051313,000000000,NW PRIORITY CREDIT UNION,PO BOX 16640,PORTLAND,OR,97292,0640,503,760,5304,1,
323075699,O,121000374,1,031010,000000000,UNITUS COMMUNITY CREDIT UNION,1300 SW 6TH,PORTLAND,OR,97201,0000,503,423,8711,1,
323075709,O,121000374,1,060513,000000000,OREGONIANS FEDERAL CREDIT UNION,6915 SE LAKE ROAD,MILWAUKIE,OR,97267,0000,503,239,5336,1,
323075754,O,121000374,1,031016,000000000,PACIFIC NW FED CRED UNION,12005 NE ERIN WAY,PORTLAND,OR,97220,0000,503,256,5858,1,
323075806,O,121000374,1,080905,000000000,USAGENCIES CREDIT UNION,95 SOUTHWEST TAYLOR STREET,PORTLAND,OR,97204,0000,503,275,0300,1,
323075822,O,121000374,1,082702,000000000,PORTLAND LOCAL 8 FCU,SUITE A,PORTLAND,OR,97209,0000,503,223,9306,1,
323075864,O,121000374,1,082411,000000000,NORTHWEST PRIORITY CREDIT UNION,PO BOX 16640,PORTLAND,OR,97292,0640,503,760,5304,1,
323075880,O,121000374,1,072308,000000000,ONPOINT COMMUNITY CREDIT UNION,SUITE 800,PORTLAND,OR,97210,0000,503,228,7077,1,
323075945,O,121000374,1,052316,000000000,PROVIDENCE FEDERAL CREDIT UNION,SUITE 125,MILWAUKIE,OR,97222,0000,503,513,8754,1,
323076009,O,121000374,2,061512,323076135,UNITED ASSN NW FCU (ROCKWOOD FCU),1430 N KILLINGSWORTH,PORTLAND,OR,97217,0000,503,283,5193,1,
323076012,O,121000374,1,062012,000000000,RIVERMARK COMMUNITY CREDIT UNION,8505 SOUTHWEST CREEKSIDE PLACE,BEAVERTON,OR,97008,0000,503,526,5604,1,
323076135,O,121000374,1,061512,000000000,UNITED ASSOCIATION NW FCU,1430 N KILLINGSWORTH,PORTLAND,OR,97217,0000,503,283,5193,1,
323076151,O,121000374,1,060314,000000000,TEAMSTERS COUNCIL 37 FCU,1866 NE 162ND AVENUE,PORTLAND,OR,97230,5642,503,251,2392,1,
323076575,O,121000374,1,011717,000000000,NW PREFERRED FEDERAL CREDIT UNION,8950 SOUTHWEST BURNHAM STREET,TIGARD,OR,97223,0000,503,620,6248,1,
323170112,O,121000374,1,041315,000000000,UMPQUA BANK,17555 NE SACRAMENTO ST,PORTLAND,OR,97230,0000,866,203,9569,1,
323172916,O,121000374,2,061515,324173626,IDAHO CENTRAL CREDIT UNION,4400 CENTRAL WAY,CHUBBUCK,ID,83202,0000,208,239,3000,1,
323172958,O,121000374,1,052504,000000000,COTTONWOOD COMMUNITY FCU,PO BOX 507,COTTONWOOD,ID,83522,0000,208,962,3451,1,
323173041,O,121000374,1,061909,000000000,PINE TREE CU,230 E MAIN,GRANGEVILLE,ID,83530,0000,208,983,1558,1,
